ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000161202	DVL3,wnt signaling pathway regulation,actin cytoskeleton organization,gene transcription,signaling receptor binding,small gtpase binding,protein localization
ENSG00000124486	USP9X,k63-linked deubiquitinase activity,cysteine-type endopeptidase activity,protein binding,circadian rhythm regulation,microtubule dynamics regulation,centrosome localization
ENSG00000176641	RNF152,ubiquitin-protein transferase activity,protein binding,small gtpase binding,transferase activity,metal ion binding,lysosome localization
ENSG00000178966	RMI1,resolution of dna recombination intermediates,dna replication,glucose homeostasis,nucleotide binding,protein binding,multicellular organism growth
ENSG00000176108	CHMP6,multivesicular body sorting pathway activity,macroautophagy regulation,vesicle fusion with vacuole,autophagosome maturation,charged multivesicular body protein 6 function,escrt iii complex assembly
ENSG00000179761	PIPOX,oxidoreductase activity,protein binding,flavin adenine dinucleotide binding,lysine catabolic process,peroxisomal matrix localization,cytosol localization
ENSG00000122257	RBBP6,rna binding activity,ubiquitin-protein transferase activity,ubiquitin-dependent protein catabolism,dna replication regulation,protein kinase binding,nucleus localization
ENSG00000135506	OS9,endoplasmic reticulum lectin activity,protease binding,carbohydrate binding,er unfolded protein response,erad pathway,retrograde protein transport
ENSG00000155975	VPS37A,membrane fission activity,ubiquitin-dependent protein catabolic process via mvb pathway,macroautophagy,viral budding via host escrt complex,protein targeting to vacuole,plasma membrane localization
ENSG00000131653	TRAF7,ubiquitin-protein transferase activity,zinc ion binding,apoptotic process regulation,erk1/2 cascade modulation,plasma membrane localization,protein ubiquitination
ENSG00000176428	VPS37D,membrane fission,macroautophagy,escrt complex regulation,late endosome localization,protein binding,viral budding regulation
ENSG00000138942	RNF185,ubiquitination,e3 ubiquitin-protein ligase activity,k27-linked ubiquitination,er-associated degradation,autophagy,innate immunity
ENSG00000146063	TRIM41,ubiquitin protein ligase activity,protein monoubiquitination,innate immune response regulation,antiviral immunity,cell cycle regulation,nuclear localization
ENSG00000177981	ASB8,protein binding,protein ubiquitination,intracellular signal transduction,cytosol localization,cytoplasmic function,ubiquitin regulation
ENSG00000163961	RNF168,histone ubiquitin ligase activity,ubiquitin-protein transferase activity,chromatin binding,dna repair,epigenetic regulation of gene expression,nucleoplasm localization
ENSG00000168884	TNIP2,polyubiquitin modification-dependent protein binding,interleukin-1-mediated signaling pathway,toll-like receptor 2/3/9 signaling cascades,regulation of transcription by rna polymerase ii,macrophage activation,b cell activation
ENSG00000163743	RCHY1,ubiquitin ligase activity,zinc ion binding,p53 binding,error-free translesion synthesis,proteasomal ubiquitin-dependent protein catabolic process,negative regulation of protein ubiquitination
ENSG00000151692	RNF144A,ubiquitin-protein transferase activity,zinc ion binding,protein binding,ubiquitin protein ligase activity,transferase activity,pattern recognition receptor signaling pathway
ENSG00000005981	ASB4,ubiquitin-protein transferase activity,enzyme binding,ubiquitin protein ligase activity,protein ubiquitination,intracellular signal transduction,positive regulation of vasculogenesis
ENSG00000180596	H2BC4,histone modification,histone protein function,nucleosome organization,chromatin remodeling,gene regulation,cellular localization within nucleus
ENSG00000161040	FBXL13,scf-dependent proteasomal ubiquitin-dependent protein catabolic process,centrosome localization,motile cilium interaction,cytoskeleton regulation,ubiquitin ligase complex interaction,protein degradation pathway
ENSG00000181788	SIAH2,transferase activity,ubiquitin-protein transferase activity,regulation of apoptotic pathways,ubiquitination of key regulators,localization to cytoplasm and nucleus,cytoplasmic ubiquitin ligase activity
ENSG00000177084	POLE,dna polymerase activity,dna-directed dna polymerase activity,plasma membrane localization,nucleus localization,metal ion binding,dna replication
ENSG00000091073	DTX2,protein ubiquitination regulation,notch signaling pathway modulation,e3 ubiquitin ligase activity,zinc ion binding,nuclear localization,regulation of cellular homeostasis
ENSG00000148356	LRSAM1,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,autophagy regulation,viral budding regulation,xenophagy regulation,cytosolic localization
ENSG00000177465	ACOT4,succinyl-coa hydrolase activity,thiolester hydrolase activity,fatty acyl-coa hydrolase activity,dicarboxylic acid metabolic process,long-chain fatty acid metabolic process,acyl-coa metabolic process
ENSG00000164053	ATRIP,dna repair,dna damage checkpoint signaling,nucleus localization,k63-linked polyubiquitin modification-dependent protein binding,exonuclease activity,atr-atrip complex interaction
ENSG00000175809	CBLL2,e3 ubiquitin-protein ligase activity,metal ion binding,protein ubiquitination,cytoplasmic localization,cell adhesion regulation,transferase activity
ENSG00000175931	UBE2O,ubiquitin conjugating enzyme activity,rna binding,ubiquitin-protein transferase activity,atp binding,protein monoubiquitination,endosome-to-golgi transport
ENSG00000131373	HACL1,2-hydroxyacyl-coa lyase activity,catalytic activity,fatty acid metabolic process,lipid metabolic process,protein targeting to peroxisome,methyl-branched fatty acid metabolic process
ENSG00000180233	ZNRF2,protein ubiquitination,ubiquitin protein ligase activity,metal ion binding,cellular homeostasis regulation,autophagosome-lysosome fusion regulation,proteasome-mediated protein degradation
ENSG00000121060	TRIM25,rig-i binding,rna binding,ubiquitin-protein transferase activity,antiviral innate immune response,cellular component regulation,ubiquitination regulation
ENSG00000254505	CHMP4A,autophagy regulation,late endosome membrane localization,multivesicular body sorting pathway,escrt machinery involvement,viral budding from plasma membrane,lipid binding activity
ENSG00000082701	GSK3B,glycogen synthase kinase-3 beta activity,histone h2bs36 kinase activity,histone modification,protein serine phosphorylation,wnt/β-catenin pathway regulation,epithelial to mesenchymal transition
ENSG00000141971	MVB12A,membrane fission activity,lipid binding activity,sh3 domain binding activity,ubiquitin binding activity,viral budding regulation,multivesicular body assembly
ENSG00000103549	RNF40,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,protein binding,chromatin organization,mitotic cell cycle regulation,nucleus localization
ENSG00000092871	RFFL,ubiquitin-protein ligase activity,ubiquitin protein binding,protein kinase binding,metal ion binding,tor signaling regulation,signal transduction regulation by p53 class mediator
ENSG00000284807	DHRS4,retinol metabolic process,steroid metabolic process,peroxisomal localization,mitochondrial localization,alcohol dehydrogenase activity,oxidoreductase activity
ENSG00000180667	YOD1,k63-linked deubiquitinase activity,cysteine-type peptidase activity,ubiquitin protein ligase binding,protein k27-linked deubiquitination,endoplasmic reticulum unfolded protein response,macroautophagy
ENSG00000007171	NOS2,nitric-oxide synthase activity,fmn binding,calmodulin binding,nadp binding,arginine binding,oxidoreductase activity
ENSG00000146755	TRIM50,ubiquitin-protein ligase activity,innate immune response modulation,zinc ion binding,identical protein binding,cytosolic localization,ubiquitination of oncogenic proteins
ENSG00000131263	RLIM,ubiquitin-protein transferase activity,metal ion binding,negative regulation of dna-templated transcription,protein ubiquitination,transcription corepressor activity,random x-chromosome inactivation
ENSG00000184916	JAG2,notch ligand activity,growth factor activity,calcium ion binding,regulation of cell population proliferation,morphogenesis of embryonic epithelium,skeletal system development
ENSG00000135108	FBXO21,dna binding,ubiquitin-protein transferase activity,protein binding,ubiquitination-dependent protein catabolism,cytosolic localization,ubiquitin ligase complex interaction
ENSG00000183763	TRAIP,ubiquitin-protein transferase activity,dna repair,signal transduction,anti-apoptotic function,negative regulation of interferon-beta production,dna damage response
ENSG00000164068	RNF123,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,protein binding,transferase activity,metal ion binding,protein polyubiquitination
ENSG00000183475	ASB7,intracellular signal transduction,protein ubiquitination,protein binding,cytosol localization,regulation of protein turnover,aberrant signal transduction pathways
ENSG00000276368	H2AC14,histone modification,dna binding,protein binding,heterodimerization activity,nucleosome formation,heterochromatin organization
ENSG00000164916	FOXK1,transcription regulator activity,dna-binding transcription factor activity,sequence-specific double-stranded dna binding,rna polymerase ii-specific dna binding,negative regulation of autophagy,intracellular glucose homeostasis
ENSG00000275045	GTF2H2,transcription initiation factor activity,metal ion binding,zinc ion binding,protein binding,dna repair,nucleotide-excision repair
ENSG00000185338	SOCS1,kinase inhibitor activity,protein binding,negative regulation of cytokine production,regulation of receptor signaling pathway via jak-stat,negative regulation of cd8-positive t cell differentiation,macrophage differentiation
ENSG00000183735	TBK1,histone kinase activity,ribosomal protein s6 kinase activity,protein serine/threonine kinase activity,regulation of gene expression,macroautophagy,innate immune response
ENSG00000171621	SPSB1,ubiquitin-like ligase activity,protein binding,ubiquitination,proteasome-mediated protein catabolism,cytosolic localization,scf complex interaction
ENSG00000184557	SOCS3,mirna binding activity,protein kinase inhibitor activity,cytokine receptor binding,cellular response to interleukin-17,signal transduction regulation,negative regulation of apoptotic process
ENSG00000183161	FANCF,dna interstrand cross-link repair,protein binding,dna damage response,chromatin localization,nucleoplasmic presence,fanconi anaemia nuclear complex
ENSG00000215193	PEX26,protein-membrane adaptor activity,atpase binding,protein-containing complex binding,protein import into peroxisome membrane,peroxisomal membrane localization,cytosol localization
	TMEM173,dna sensing,type i interferon production,cellular proliferation and survival,innate immune response regulation,tumor immunosurveillance,cancer cell survival
ENSG00000182446	NPLOC4,erad pathway regulation,retrograde protein transport,ubiquitin-dependent protein catabolic process,nucleus localization,metal ion binding,atpase binding
ENSG00000099910	KLHL22,autophagy regulation,cell cycle progression regulation,mitotic spindle assembly checkpoint signaling,torc1 signaling regulation,t cell activation regulation,ubiquitin-like ligase-substrate adaptor activity
ENSG00000184260	H2AC20,heterochromatin formation,dna binding activity,structural constituent of chromatin,protein heterodimerization activity,chromosome localization,nucleosome organization
ENSG00000185920	PTCH1,hedgehog receptor activity,cyclin binding,cholesterol binding,cell fate determination,glucose metabolism,negative regulation of smoothened signaling pathway
ENSG00000184270	H2AC21,histone h2a type 2-b,protein heterodimerization activity,dna binding,structural constituent of chromatin,nucleosome formation,chromatin remodeling
ENSG00000182179	UBA7,ubiquitin-protein transferase activity,isg15 activating enzyme activity,innate immune response,dna damage response,protein modification by small protein conjugation,nucleoplasm localization
ENSG00000183598	H3C13,histone modification activity,chromatin organization,nucleosome assembly,dna binding,structural constituent of chromatin,protein heterodimerization activity
ENSG00000185504	FAAP100,interstrand cross-link repair,dna binding,protein binding,chromatin localization,fanconi anaemia nuclear complex involvement,nucleoplasmic presence
ENSG00000123552	USP45,cysteine-type deubiquitinase activity,cell migration,dna repair,protein binding,hydrolase activity,zinc ion binding
ENSG00000094631	HDAC6,microtubule binding,histone deacetylase activity,protein lysine deacetylase activity,cytoskeleton organization,mitochondrion localization,regulation of autophagy
ENSG00000186895	FGF3,fibroblast growth factor activity,fibroblast growth factor receptor binding,cell-cell signaling,tissue morphogenesis,paracrine signaling,cytoplasmic localization
ENSG00000156256	USP16,histone deubiquitination,cell cycle progression,chromatin remodeling,dna damage response,transcriptional regulation,nucleus localization
ENSG00000186187	ZNRF1,ubiquitin-protein transferase activity,metal ion binding,autophagosome-lysosome fusion regulation,proteasome-mediated protein degradation,toll-like receptor 4 signaling pathway regulation,cellular ubiquitination regulation
ENSG00000141568	FOXK2,rna polymerase ii-specific dna binding,sequence-specific dna binding,dna-binding transcription activator activity,regulation of glucose metabolic process,regulation of autophagy,negative regulation of dna-templated transcription
ENSG00000108384	RAD51C,dna repair activity,homologous recombination repair,telomere maintenance via recombination,meiotic dna recombinase assembly,sister chromatid cohesion,nuclear localization
ENSG00000078687	TNRC6C,post-transcriptional gene silencing,rna binding,mirna-mediated post-transcriptional gene silencing,nuclear-transcribed mrna poly(a) tail shortening,regulation of translation,cytosol localization
ENSG00000183655	KLHL25,ubiquitin-like ligase-substrate adaptor activity,regulation of translational initiation,protein ubiquitination,ubiquitin-dependent protein catabolic process,negative regulation of fatty acid biosynthetic process,cytoplasmic localization
ENSG00000071537	SEL1L,erad pathway regulation,hrd1p ubiquitin ligase complex interaction,endoplasmic reticulum membrane localization,notch signaling pathway regulation,retrograde protein transport,protein secretion regulation
ENSG00000163833	FBXO40,ubiquitin protein ligase activity,zinc ion binding,muscle cell differentiation,cytosol localization,cytoplasm localization,none
ENSG00000125818	PSMF1,proteasome regulation,negative regulation of proteasomal protein catabolic process,ubiquitin-dependent protein catabolic process,protein binding,heterodimerization activity,homodimerization activity
ENSG00000109906	ZBTB16,transcription corepressor binding,rna polymerase ii-specific activity,dna-binding transcription activator activity,negative regulation of dna-templated transcription,positive regulation of apoptotic process,nuclear localization
ENSG00000145335	SNCA,phospholipase d inhibition,ca2+ binding,protein tetramerization,neurotransmitter secretion regulation,vesicle trafficking regulation,oxidative stress response
ENSG00000184787	UBE2G2,ubiquitin conjugating enzyme activity,retrograde protein transport regulation,k48-linked ubiquitination,proteasomal degradation,cytosolic localization,endoplasmic reticulum involvement
ENSG00000130985	UBA1,ubiquitination activity,sumoylation,rna binding,atp binding,dna damage response,protein degradation
ENSG00000187325	TAF9B,transcriptional regulation activity,apoptosis repression,nucleus localization,protein stabilization,chromatin remodeling,negative regulation of transcription
ENSG00000244687	UBE2V1,ubiquitin-conjugating enzyme activity,nf-kappab transcription factor activation,protein polyubiquitination,postreplication repair,cell differentiation regulation,ubiquitin binding
ENSG00000172977	KAT5,histone h2bk12 acetyltransferase activity,histone h4 acetyltransferase activity,histone h3k14 acetyltransferase activity,peptide-lysine-n-acetyltransferase activity,dna repair,double-strand break repair
ENSG00000151148	UBE3B,ubiquitin protein ligase activity,transferase activity,protein binding,regulation of postsynaptic assembly,ubiquitin-dependent protein catabolic process,glutamatergic synapse localization
ENSG00000101049	SGK2,protein serine kinase activity,histone h3t6 kinase activity,histone h3s57 kinase activity,potassium channel regulator activity,ribosomal protein s6 kinase activity,histone h2bs36 kinase activity
ENSG00000086758	HUWE1,rna binding,ubiquitin-protein transferase activity,histone ubiquitin ligase activity,dna repair,chromatin remodeling,protein k48-linked ubiquitination
ENSG00000163754	GYG1,glycosyltransferase activity,glycogen biosynthetic process,manganese ion binding,protein binding,cytoplasmic localization,lysosomal lumen localization
ENSG00000196866	H2AC7,histone protein activity,dna binding,heterochromatin formation,chromatin remodeling,structural constituent of chromatin,nucleosome localization
ENSG00000102871	TRADD,tumor necrosis factor receptor binding,nf-kappab transcription factor activity regulation,protein-macromolecule adaptor activity,cytosolic localization of death-inducing signaling complex formation,apoptotic process regulation,cellular response to tumor necrosis factor
ENSG00000060237	WNK1,histone h3t6 kinase activity,histone h3s57 kinase activity,protein serine kinase activity,regulation of sodium ion transport,angiogenesis,cell volume homeostasis
ENSG00000141646	SMAD4,tgf-beta signaling pathway regulation,collagen binding,dna-binding transcription activator activity,transcription corepressor binding,cellular response to glucose stimulus,negative regulation of cell growth
ENSG00000127334	DYRK2,dual specificity tyrosine phosphorylation regulated kinase activity,histone kinase activity,smoothened signaling pathway,chromatin remodeling,dna damage response,apoptosis regulation
ENSG00000181852	RNF41,ring-type e3 ubiquitin transferase activity,ubiquitin-protein transferase activity,protein ubiquitination,negative regulation of cell population proliferation,regulation of pi3k/akt signal transduction,apoptotic process
ENSG00000158019	BABAM2,dna repair regulation,apoptosis regulation,genomic stability maintenance,brisc complex interaction,polyubiquitin modification-dependent protein binding,chromatin organization
ENSG00000162607	USP1,deubiquitinating enzyme activity,cysteine-type peptidase activity,protein binding,regulation of receptor signaling pathways via jak-stat,dna repair regulation,monoubiquitinated protein deubiquitination
ENSG00000187555	USP7,k48-linked deubiquitinase activity,cysteine-type peptidase activity,protein binding,dna repair,telomere capping,negative regulation of nf-kappab transcription factor activity
ENSG00000175054	ATR,serine/threonine-protein kinase activity,histone h3t6 kinase activity,telomere maintenance,double-strand break repair,dna replication stress response,signal transduction by p53 class mediator
ENSG00000171823	FBXL14,ubiquitin-protein transferase activity,protein binding,scf-dependent proteasomal ubiquitin-dependent protein catabolic process,ubiquitin-dependent protein catabolic process,cytosol localization,cytoplasm localization
ENSG00000118564	FBXL5,iron ion binding,ubiquitin-protein transferase activity,iron ion homeostasis,protein catabolic process,ubiquitin ligase complex localization,cytosol localization
ENSG00000139174	PRICKLE1,protein binding,zinc ion binding,maintenance of postsynaptic density structure,dendrite development,aorta development,cardiac muscle cell development
ENSG00000188766	SPRED3,regulation of signal transduction,negative regulation of tgf-beta receptor signaling pathway,negative regulation of erk1/erk2 cascade,negative regulation of epithelial to mesenchymal transition,protein kinase binding,plasma membrane localization
ENSG00000187566	NHLRC1,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,protein binding,translation repressor activity,autophagy,regulation of gene expression
ENSG00000168447	SCNN1B,ligand-gated sodium channel activity,sodium channel activity,cellular response to vasopressin,epithelial fluid transport,leukocyte activation involved in inflammatory response,sodium ion transmembrane transport
ENSG00000116661	FBXO2,amyloid-beta binding,denatured protein binding,ubiquitin-protein transferase activity,carbohydrate binding,proteasomal ubiquitin-dependent protein catabolic process,negative regulation of cell population proliferation
ENSG00000198612	COPS8,protein binding,negative regulation of cell population proliferation,cop9 signalosome assembly,protein deneddylation,regulation of protein neddylation,cell cycle progression
ENSG00000197548	ATG7,ubiquitin-like modifier-activating enzyme activity,atg12 activating enzyme activity,atg8 activating enzyme activity,macroautophagy,mitophagy,protein lipidation
ENSG00000196632	WNK3,phosphorylation activity,histone modification,ion transport regulation,osmosensory signaling,chromatin remodeling,plasma membrane localization
ENSG00000095787	WAC,rna polymerase ii complex binding,chromatin binding,protein binding,autophagy regulation,torc1 signaling regulation,dna damage response
ENSG00000197238	H4C11,histone modification,chromatin regulation,nucleosome formation,dna packaging,epigenetic regulation,cellular proliferation
ENSG00000168301	KCTD6,ubiquitin-dependent protein catabolic process,ankyrin binding,cullin family protein interaction,smoothened signaling pathway regulation,protein ubiquitination,cellular homeostasis regulation
ENSG00000197299	BLM,dna helicase activity,dna binding,telomeric region,bubble dna binding,double-stranded dna helicase activity,g-quadruplex dna binding
ENSG00000187147	RNF220,ubiquitin-protein transferase activity,protein binding,metal ion binding,beta-catenin binding,positive regulation of canonical wnt signaling pathway,regulation of transcription regulatory region dna binding
ENSG00000005812	FBXL3,circadian rhythm regulation,proteasome-mediated ubiquitin-dependent protein catabolic process,scf-dependent proteasomal ubiquitin-dependent protein catabolic process,ubiquitin-protein transferase activity,protein binding,nuclear localization
ENSG00000186591	UBE2H,ubiquitin-conjugating enzyme activity,ubiquitin-protein transferase activity,atp binding,protein k48-linked ubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process,cytosol localization
ENSG00000166987	MBD6,dna binding,chromatin association,nuclear localization,methyl-cpg-binding domain,epigenetic regulation,cancer development
ENSG00000134899	ERCC5,dna endonuclease activity,protein-containing complex binding,nucleotide-excision repair,double-strand break repair via homologous recombination,transcription-coupled nucleotide-excision repair,base-excision repair
ENSG00000188243	COMMD6,nf-kappab binding,signal transduction,negative regulation of nf-kappab transcription factor activity,protein binding,cytoplasmic localization,nuclear localization
ENSG00000146833	TRIM4,protein ubiquitination,zinc ion binding,innate immunity regulation,gene expression regulation,cytosolic localization,plasma membrane association
ENSG00000204977	TRIM13,ubiquitin-like protein ligase activity,metal ion binding,transcription coactivator activity,erad pathway,macroautophagy regulation,negative regulation of viral transcription
ENSG00000125826	RBCK1,ubiquitin ligase activator activity,ubiquitin-protein transferase activity,identical protein binding,metal ion binding,nf-kappab transcription factor regulation,t cell receptor signaling pathway
ENSG00000119682	AREL1,e3 ubiquitin transferase activity,transferase activity,regulation of apoptosis,protein k33-linked ubiquitination,apototic process regulation,ubiquitination pathway regulation
ENSG00000198369	SPRED2,protein kinase inhibitor activity,signal transduction regulation,dna damage response regulation,tgf-β signaling inhibition,epithelial-mesenchymal transition suppression,mapk cascade inhibition
ENSG00000177479	ARIH2,ubiquitin-protein transferase activity,zinc ion binding,ubiquitin ligase complex localization,cytoplasmic and nuclear localization,k48-linked ubiquitination,k63-linked ubiquitination
ENSG00000087008	ACOX3,fatty acid oxidation,fad binding,oxidoreductase activity,beta-oxidation using acyl-coa oxidase,peroxisomal matrix localization,cytosolic localization
ENSG00000277224	H2BC7,histone regulation,c chromatin structure,gene expression modification,dna replication repair,epigenetic regulation,none
ENSG00000169218	RSPO1,wnt signaling regulation,receptor internalization,protein phosphorylation,canonical wnt signaling pathway,extracellular space localization,heparin binding
ENSG00000142655	PEX14,peroxisome biogenesis,peroxisomal membrane protein,peroxisome organization,protein transmembrane transporter activity,signaling receptor binding,microtubule interaction
ENSG00000146374	RSPO3,signaling receptor binding,heparin binding,frizzled binding,angiogenesis,blood vessel remodeling,canonical wnt signaling pathway
ENSG00000196470	SIAH1,e3 ubiquitin ligase activity,apoptosis regulation,protein catabolic process,cell differentiation,neural development,ubiquitination regulation
ENSG00000007944	MYLIP,ubiquitin transferase activity,cytoskeletal protein binding,cholesterol homeostasis,low-density lipoprotein particle clearance,negative regulation of neuron projection development,protein ubiquitination
ENSG00000197903	H2BC12,histone modification,histone binding,dna binding,innate immunity,antibacterial response,chromatin regulation
ENSG00000164751	PEX2,peroxisomal membrane localization,ring-type e3 ubiquitin transferase activity,protein import into peroxisome matrix,pexophagy,fatty acid beta-oxidation,ubiquitination activity
ENSG00000109332	UBE2D3,ubiquitin conjugating enzyme activity,ubiquitin-protein transferase activity,protein polyubiquitination,dna repair,apoptotic process,negative regulation of bmp signaling pathway
ENSG00000141552	ANAPC11,ubiquitin-protein transferase activity,protein binding,zinc ion binding,regulation of meiotic cell cycle,proteolysis involved in protein catabolic process,regulation of mitotic cell cycle
ENSG00000196372	ASB13,protein binding,intracellular signal transduction,protein ubiquitination,cytosolic localization,substrate recognition subunit,e3 ubiquitin ligase complex
ENSG00000119318	RAD23B,dna damage sensor activity,rna polymerase ii-specific dna-binding transcription factor binding,damaged dna binding,transcription cis-regulatory region binding,ubiquitin binding,singl-stranded dna binding
ENSG00000196712	NF1,gtpase activator activity,lipid binding,ras/mapk pathway regulation,leukocyte apoptosis regulation,stem cell proliferation control,mast cell apoptosis regulation
ENSG00000138346	DNA2,dna replication helicase activity,dna binding,chromatin looping activity,nucleus localization,telomere maintenance,helicase nuclease activity
ENSG00000197323	TRIM33,co-smad binding,ubiquitin-protein transferase activity,zinc ion binding,protein ubiquitination,tgf-β receptor signaling pathway regulation,negative regulation of transcription
ENSG00000205220	PSMB10,endopeptidase activity,threonine-type endopeptidase activity,protein binding,t-cell proliferation,proteasome-mediated ubiquitin-dependent protein catabolic process,cell morphogenesis
ENSG00000164930	FZD6,wnt receptor activity,transmembrane signaling receptor activity,g protein-coupled receptor activity,amyloid-beta binding,ubiquitin protein ligase binding,wnt-protein binding
ENSG00000009413	REV3L,dna polymerase activity,dna-directed dna polymerase activity,translesion synthesis,dna repair via homologous recombination,nucleotide binding,metal ion binding
ENSG00000198642	KLHL9,ubiquitin-protein transferase activity,cullin family protein binding,regulation of cytokinesis,protein ubiquitination,cytosol localization,midbody presence
ENSG00000198373	WWP2,regulation of notch signaling pathway,ubiquitination,transcriptional regulation,protein autoubiquitination,regulation of potassium ion transmembrane transporter activity,regulation of monoatomic ion transmembrane transport
ENSG00000197153	H3C12,histone modification,chromatin remodeling,dna replication regulation,eigenetic regulation,cell cycle control,nucleosome localization
ENSG00000198087	CD2AP,actin filament binding,clathrin binding,cell migration,cell adhesion mediated by cadherin,neurotrophin trk receptor signaling pathway,t cell receptor signaling pathway
ENSG00000196584	XRCC2,dna damage sensor activity,atp binding,dna binding,four-way junction dna binding,protein binding,cytoplasmic localization
ENSG00000105393	BABAM1,double-strand break repair,mitotic g2/m transition checkpoint signaling,hematopoietic stem cell proliferation,dna repair,chromatin organization,nuclear localization
ENSG00000130816	DNMT1,dna methylation,methylation activity,methyltransferase activity,dna (cytosine-5-)-methyltransferase activity,cpg island methylation,epigenetic programming of gene expression
ENSG00000019995	ZRANB1,deubiquitination activity,cysteine-type deubiquitinase activity,polyubiquitin modification-dependent protein binding,metal ion binding,wnt signaling pathway regulation,cytoskeleton organization regulation
ENSG00000196367	TRRAP,dna repair regulation,chromatin remodeling,transcriptional regulation,kinase activity,protein binding,chromatin binding
ENSG00000268861	ARHGEF18,guanyl-nucleotide exchange factor activity,metal ion binding,protein binding,actin cytoskeleton organization,rho protein signal transduction,cell shape determination
ENSG00000111319	SCNN1A,sodium channel activity,sodium ion transmembrane transport,ligand-gated sodium channel activity,regulation of blood pressure,sodium ion homeostasis,cellular response to vasopressin
ENSG00000105270	CLIP3,microtubule binding,ganglioside binding,protein transport along microtubules,microtubule organization,cytoplasmic microtubule regulation,plasma membrane localization
ENSG00000197361	FBXL22,ubiquitin protein ligase activity,protein binding,proteasome-mediated ubiquitin-dependent protein catabolic process,scf ubiquitin ligase complex,cellular ubiquitination,protein degradation pathway
ENSG00000159202	UBE2Z,ubiquitin-conjugating enzyme activity,atp binding,protein binding,molecular adaptor activity,transferase activity,negative regulation of apoptotic process
ENSG00000144744	UBA3,nedd8 activating enzyme activity,ubiquitin-like modifier activating enzyme activity,ligase activity,protein binding,identical protein binding,atp binding
ENSG00000276787	FAN1,endonuclease activity,exonuclease activity,ubiquitin-modified protein reader activity,dna binding,metal ion binding,nucleus localization
ENSG00000198783	ZNF830,nucleic acid binding,protein binding,zinc ion binding,metal ion binding,rna processing,rna splicing
ENSG00000198742	SMURF1,ubiquitin ligase activity,tgf-β receptor binding,axon extension regulation,dendrite extension regulation,bmp signaling pathway regulation,protein polyubiquitination
ENSG00000196814	MVB12B,lipid binding activity,ubiquitin binding activity,escrt pathway regulation,viral budding regulation,epidermal growth factor receptor signaling regulation,membrane trafficking and remodeling
ENSG00000198961	PJA2,ubiquitin-protein transferase activity,protein kinase a regulatory subunit binding,positive regulation of p38mapk cascade,proteasome-mediated ubiquitin-dependent protein catabolic process,innate immune response,plasma membrane localization
ENSG00000158458	NRG2,growth factor activity,signaling receptor binding,intracellular signal transduction,nervous system development,erbb4 signaling pathway,plasma membrane localization
ENSG00000198730	CTR9,epigenetic regulation,transcription elongation by rna polymerase ii,chromatin organization,sh2 domain binding,rna polymerase ii complex binding,nucleus localization
ENSG00000181191	PJA1,ubiquitin-protein ligase activity,transferase activity,metal ion binding,protein catabolic process,cytoplasmic localization,chromatin remodeling
ENSG00000198919	DZIP3,ubiquitination,polyubiquitin modification-dependent protein binding,rna binding,protein stability regulation,cytoplasmic localization,e3 ubiquitin ligase activity
ENSG00000198924	DCLRE1A,dna cross-link repair,interstrand cross-link repair,double-strand break repair via nhej,damaged dna binding,5'-3' dna exonuclease activity,hydrolase activity
ENSG00000198881	ASB12,ubiquitin protein ligase activity,protein binding,protein ubiquitination,cytosol localization,ubiquitin ligase complex formation,cell cycle regulation
ENSG00000100804	PSMB5,proteasome complex localization,cytoplasmic localization,threonine-type endopeptidase activity,endopeptidase activity,peptide binding,ubiquitin-dependent protein catabolic process regulation
ENSG00000174371	EXO1,dna exonuclease activity,endonuclease activity,mismatch repair,t-circle formation,nucleus localization,plasma membrane association
ENSG00000135766	EGLN1,hypoxia-inducible factor-proline dioxygenase activity,dioxygenase activity,iron ion binding,oxidoreductase activity,protein binding,cytosolic localization
ENSG00000116906	GNPAT,acyltransferase activity,ether lipid biosynthetic process,glycerophospholipid metabolic process,membrane organization,synapse assembly,cerebellum morphogenesis
ENSG00000284841	H2AW,histone modification,histone regulation,chromatin structure,dna repair mechanism,genome stability,epigenetic change
ENSG00000168148	H3-4,protein heterodimerization activity,dna binding,structural constituent of chromatin,nucleosome assembly,chromatin organization,nuclear localization
ENSG00000275555	DLL1,notch ligand function,somitogenesis regulation,cell fate determination,clathrin-dependent endocytosis localization,notch signaling dysregulation,endothelial tip cell fate specification
ENSG00000143799	PARP1,adp-ribosyltransferase activity,dna repair,nucleotide binding,chromatin remodeling,histone modification,nuclear localization
ENSG00000185345	PRKN,autophagy regulation,mitochondrial quality control,protein degradation regulation,molecular interaction,mitochondrial fusion/fission regulation,oxidative stress management
ENSG00000198625	MDM4,ubiquitin-protein transferase activity,protein binding,transcription repressor complex,regulation of cell cycle,negative regulation of protein catabolic process,nucleoplasm localization
ENSG00000077152	UBE2T,ubiquitin-conjugating enzyme activity,ubiquitin-protein transferase activity,atp binding,protein binding,dna repair,nucleoplasm localization
